update,env_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,avg_step_reward,avg_episode_return,avg_episode_length,success_rate,action_std
1,2048,0.004762,64.675179,1.072058,0.006028,0.093750,0.892967,39.736267,44.849998,1.000000,0.707029
2,4096,0.001307,62.051624,1.073822,0.003337,0.007812,0.888527,49.098019,56.049999,1.000000,0.708143
3,6144,-0.051926,56.520710,1.075305,0.004231,0.031250,0.885405,52.691895,59.849998,1.000000,0.709204
4,8192,0.082182,44.559406,1.076347,0.003728,0.015625,0.867852,48.844177,56.349998,1.000000,0.709932
5,10240,-0.027904,46.852875,1.077048,0.017243,0.144531,0.869250,41.055782,46.500000,1.000000,0.710596
6,12288,-0.076665,40.543407,1.088516,0.010409,0.140625,0.868891,42.590973,48.650002,1.000000,0.718950
7,14336,0.004480,49.784031,1.095015,0.012394,0.140625,0.862924,58.013905,66.199997,1.000000,0.723440
8,16384,-0.013125,38.749084,1.109384,0.042316,0.277344,0.846224,43.586189,52.450001,1.000000,0.734070
9,18432,-0.041071,32.019943,1.121276,0.025654,0.164062,0.765402,54.199074,73.900002,1.000000,0.742740
10,20480,0.049646,36.621651,1.137478,0.013574,0.148438,0.775879,50.760353,65.400002,1.000000,0.754997
11,22528,-0.160940,25.330309,1.162608,0.009661,0.101562,0.745294,44.547466,61.099998,1.000000,0.774370
12,24576,-0.006052,27.055349,1.192219,0.009860,0.117188,0.710746,39.199203,56.150002,1.000000,0.797639
13,26624,-0.101082,25.473936,1.214623,0.004960,0.062500,0.730678,40.025612,55.150002,1.000000,0.815562
14,28672,0.008259,30.244450,1.226452,0.011062,0.109375,0.800061,59.044331,72.000000,1.000000,0.825102
15,30720,-0.030117,29.033962,1.231841,0.003136,0.042969,0.791531,61.459602,82.699997,1.000000,0.829433
16,32768,-0.077496,41.354713,1.232702,0.008907,0.078125,0.788232,79.966492,100.449997,1.000000,0.830107
17,34816,-0.031913,32.565929,1.232133,0.007003,0.074219,0.782361,79.480278,100.400002,1.000000,0.829581
18,36864,0.013854,28.837807,1.230461,0.010375,0.082031,0.790279,86.862114,113.199997,1.000000,0.828196
19,38912,-0.012032,26.325325,1.233451,0.012097,0.113281,0.753928,94.454887,119.849998,1.000000,0.830784
20,40960,-0.003761,37.103943,1.225427,0.015432,0.074219,0.786653,85.586578,112.849998,1.000000,0.823807
21,43008,0.051629,24.469681,1.219195,0.023625,0.175781,0.804723,107.811234,137.199997,1.000000,0.818875
22,45056,-0.066945,23.364819,1.216943,0.011059,0.117188,0.789457,112.426590,140.399994,1.000000,0.817035
23,47104,0.060128,34.226578,1.215322,0.020334,0.148438,0.764039,95.837036,125.349998,1.000000,0.815803
24,49152,-0.026224,20.055452,1.211129,0.021705,0.144531,0.792127,109.666893,141.550003,1.000000,0.812231
25,51200,-0.089959,15.407164,1.206090,0.013858,0.160156,0.778280,124.575233,158.000000,1.000000,0.808239
26,53248,-0.062227,15.552436,1.197872,0.012938,0.132812,0.751554,138.003632,176.449997,1.000000,0.801492
27,55296,-0.036673,12.647597,1.185365,0.039636,0.308594,0.768715,129.636093,169.149994,1.000000,0.791496
28,57344,0.095660,21.699059,1.173445,0.016398,0.175781,0.687280,124.038292,169.300003,1.000000,0.782135
29,59392,-0.015125,28.792814,1.162451,0.012442,0.109375,0.730418,133.170349,183.899994,1.000000,0.773554
30,61440,-0.024585,26.099249,1.154655,0.009875,0.113281,0.725534,141.144257,200.800003,1.000000,0.767663
