step,reward,action,value,obs0,obs1,obs2,obs3,terminated,truncated
1,0.997856,0.043568,54.922615,-0.026723,0.064093,0.015429,-0.003559,0,0
2,0.997858,0.043616,54.922596,-0.026223,0.063921,0.034594,-0.013536,0,0
3,0.997863,0.043657,54.922577,-0.025340,0.063553,0.053749,-0.023241,0,0
4,0.997871,0.043691,54.922546,-0.024073,0.062993,0.072895,-0.032740,0,0
5,0.997881,0.043718,54.922512,-0.022424,0.062244,0.092030,-0.042098,0,0
6,0.997893,0.043737,54.922466,-0.020392,0.061309,0.111154,-0.051373,0,0
7,0.997905,0.043746,54.922421,-0.017978,0.060189,0.130264,-0.060622,0,0
8,0.997916,0.043746,54.922359,-0.015182,0.058884,0.149359,-0.069899,0,0
9,0.997925,0.043736,54.922295,-0.012004,0.057393,0.168436,-0.079256,0,0
10,0.997929,0.043714,54.922226,-0.008444,0.055713,0.187493,-0.088741,0,0
11,0.997926,0.043680,54.922146,-0.004504,0.053842,0.206525,-0.098402,0,0
12,0.997915,0.043633,54.922066,-0.000184,0.051776,0.225530,-0.108287,0,0
13,0.997892,0.043571,54.921978,0.004517,0.049509,0.244501,-0.118439,0,0
14,0.997855,0.043494,54.921890,0.009596,0.047036,0.263436,-0.128905,0,0
15,0.997800,0.043400,54.921795,0.015054,0.044351,0.282328,-0.139728,0,0
16,0.997724,0.043289,54.921692,0.020889,0.041445,0.301171,-0.150953,0,0
17,0.997624,0.043158,54.921581,0.027100,0.038310,0.319959,-0.162622,0,0
18,0.997494,0.043006,54.921455,0.033686,0.034937,0.338684,-0.174781,0,0
19,0.997330,0.042832,54.921314,0.040647,0.031316,0.357339,-0.187474,0,0
20,0.997127,0.042634,54.921139,0.047979,0.027435,0.375915,-0.200747,0,0
21,0.996878,0.042410,54.920925,0.055682,0.023282,0.394403,-0.214643,0,0
22,0.996578,0.042158,54.920650,0.063754,0.018845,0.412792,-0.229212,0,0
23,0.996219,0.041875,54.920300,0.072193,0.014110,0.431072,-0.244498,0,0
24,0.995794,0.041558,54.919846,0.080996,0.009061,0.449228,-0.260550,0,0
25,0.995294,0.041204,54.919247,0.090161,0.003683,0.467248,-0.277417,0,0
26,0.994708,0.040808,54.918457,0.099684,-0.002041,0.485115,-0.295147,0,0
27,0.994027,0.040365,54.917416,0.109563,-0.008128,0.502810,-0.313788,0,0
28,0.993240,0.039868,54.916050,0.119795,-0.014597,0.520313,-0.333388,0,0
29,0.992332,0.039307,54.914253,0.130374,-0.021469,0.537597,-0.353990,0,0
30,0.991291,0.038672,54.911907,0.141296,-0.028762,0.554632,-0.375637,0,0
31,0.990101,0.037945,54.908840,0.152556,-0.036500,0.571380,-0.398362,0,0
32,0.988746,0.037107,54.904850,0.164147,-0.044702,0.587793,-0.422191,0,0
33,0.987209,0.036127,54.899651,0.176063,-0.053392,0.603811,-0.447134,0,0
34,0.985472,0.034969,54.892887,0.188295,-0.062592,0.619356,-0.473181,0,0
35,0.983515,0.033580,54.884090,0.200832,-0.072323,0.634326,-0.500292,0,0
36,0.981320,0.031888,54.872616,0.213661,-0.082606,0.648589,-0.528384,0,0
37,0.978870,0.029795,54.857632,0.226766,-0.093459,0.661964,-0.557316,0,0
38,0.976149,0.027169,54.838020,0.240128,-0.104897,0.674215,-0.586863,0,0
39,0.973148,0.023828,54.812283,0.253720,-0.116928,0.685018,-0.616688,0,0
40,0.969862,0.019530,54.778450,0.267509,-0.129553,0.693944,-0.646298,0,0
41,0.966303,0.013951,54.733967,0.281453,-0.142761,0.700413,-0.674996,0,0
42,0.962495,0.006678,54.675602,0.295493,-0.156523,0.703661,-0.701827,0,0
43,0.958486,-0.002790,54.599514,0.309557,-0.170790,0.702694,-0.725517,0,0
44,0.954353,-0.015011,54.501492,0.323546,-0.185483,0.696270,-0.744451,0,0
45,0.950197,-0.030509,54.377663,0.337338,-0.200488,0.682908,-0.756708,0,0
46,0.946143,-0.049605,54.225735,0.350776,-0.215649,0.660987,-0.760201,0,0
47,0.942319,-0.072192,54.046589,0.363675,-0.230772,0.628942,-0.752979,0,0
48,0.938834,-0.097537,53.845631,0.375820,-0.245628,0.585546,-0.733627,0,0
